datetime_UTC;PT;PL
01-01-2019 07:52;-333.26;-11.42
01-01-2019 07:56;-327.05;-6.83
01-01-2019 08:00;-320.85;-2.24
01-01-2019 08:04;-309.94;2.36
01-01-2019 08:08;-299.95;6.03
01-01-2019 08:12;-283.66;9.7
01-01-2019 08:16;-267.35;13.38
01-01-2019 08:20;-251.05;17.05
01-01-2019 08:24;-213.78;20.72
01-01-2019 08:28;-184.21;39.09
01-01-2019 08:32;-147.31;64.79
01-01-2019 08:36;-131.83;69.07
01-01-2019 08:40;-107.53;73.36
01-01-2019 08:44;-83.25;77.64
01-01-2019 08:48;-58.96;81.92
01-01-2019 08:52;-34.66;86.21
01-01-2019 08:56;-16.98;90.49
01-01-2019 09:00;9.27;103.34
01-01-2019 09:04;48.92;116.19
01-01-2019 09:08;82.15;122.62
01-01-2019 09:12;115.37;129.04
01-01-2019 09:16;148.6;135.47
01-01-2019 09:20;165.36;141.89
01-01-2019 09:24;185.44;151.64
01-01-2019 09:28;215.85;161.38
01-01-2019 09:32;235.94;171.13
01-01-2019 09:36;251.14;176
01-01-2019 09:40;276.69;180.88
01-01-2019 09:44;302.23;185.75
01-01-2019 09:48;327.77;190.62
01-01-2019 09:52;353.32;195.5
01-01-2019 09:56;377;200.37
01-01-2019 10:00;410.43;214.99
01-01-2019 10:04;462.67;229.61
01-01-2019 10:08;495.57;239.36
01-01-2019 10:12;528.46;249.1
01-01-2019 10:16;549.79;258.85
01-01-2019 10:20;570.98;268.47
01-01-2019 10:24;612.07;278.08
01-01-2019 10:28;653.16;287.7
01-01-2019 10:32;661.22;297.31
01-01-2019 10:36;698.13;335.78
01-01-2019 10:40;709.4;348.6
01-01-2019 10:44;717.56;361.42
01-01-2019 10:48;728.83;374.24
01-01-2019 10:52;769.23;416.2
01-01-2019 10:56;776.07;424.59
01-01-2019 11:00;767.76;432.98
01-01-2019 11:04;759.46;441.37
01-01-2019 11:08;751.15;449.76
01-01-2019 11:12;753.97;458.15
01-01-2019 11:16;790.37;500.11
01-01-2019 11:20;796.86;512.17
01-01-2019 11:24;784.3;524.24
01-01-2019 11:28;771.72;536.3
01-01-2019 11:32;759.15;548.36
01-01-2019 11:36;762.09;560.43
01-01-2019 11:40;773.05;580.53
01-01-2019 11:44;774.89;600.64
01-01-2019 11:48;785.86;620.74
01-01-2019 11:52;784.55;628.57
01-01-2019 11:56;774.12;636.41
01-01-2019 12:00;770.12;644.24
01-01-2019 12:04;766.12;652.07
01-01-2019 12:08;768.03;659.9
01-01-2019 12:12;769.95;667.74
01-01-2019 12:16;765.95;675.57
01-01-2019 12:20;763.32;683.4
01-01-2019 12:24;760.68;691.23
01-01-2019 12:28;765.03;699.07
01-01-2019 12:32;800.7;738.23
01-01-2019 12:36;808.81;749.82
01-01-2019 12:40;809.93;761.41
01-01-2019 12:44;811.06;773
01-01-2019 12:48;812.18;784.59
01-01-2019 12:52;813.32;796.19
01-01-2019 12:56;831.82;825.16
01-01-2019 13:00;859.29;854.14
01-01-2019 13:04;877.21;873.57
01-01-2019 13:08;895.13;893
01-01-2019 13:12;906.56;905.95
01-01-2019 13:16;916.5;918.91
01-01-2019 13:20;927.94;931.86
01-01-2019 13:24;936.15;941.58
01-01-2019 13:28;942.83;951.29
01-01-2019 13:32;949.53;961.01
01-01-2019 13:36;959.38;970.72
01-01-2019 13:40;969.36;980.57
01-01-2019 13:44;972.79;983.86
01-01-2019 13:48;976.48;987.14
01-01-2019 13:52;990.43;990.43
01-01-2019 13:56;1000.28;1000.28
01-01-2019 14:00;975.33;975.33
01-01-2019 14:04;962.85;962.85
01-01-2019 14:08;950.37;950.37
01-01-2019 14:12;925.42;925.42
01-01-2019 14:16;930.67;930.67
01-01-2019 14:20;933.29;933.29
01-01-2019 14:24;935.91;935.91
01-01-2019 14:28;941.16;941.16
01-01-2019 14:32;943.78;943.78
01-01-2019 14:36;946.4;946.4
01-01-2019 14:40;964.88;964.88
01-01-2019 14:44;974.11;974.11
01-01-2019 14:48;983.35;983.35
01-01-2019 14:52;1001.83;1001.83
01-01-2019 14:56;1007.98;1007.98
01-01-2019 15:00;1014.14;1014.14
01-01-2019 15:04;1020.3;1020.3
01-01-2019 15:08;1030.32;1030.32
01-01-2019 15:12;1040.33;1040.33
01-01-2019 15:16;1045.34;1045.34
01-01-2019 15:20;1050.35;1050.35
01-01-2019 15:24;1055.35;1055.35
01-01-2019 15:28;1060.36;1060.36
01-01-2019 15:32;1066.4;1066.4
01-01-2019 15:36;1069.42;1069.42
01-01-2019 15:40;1072.43;1072.43
01-01-2019 15:44;1075.45;1075.45
01-01-2019 15:48;1078.47;1078.47
01-01-2019 15:52;1076.25;1076.25
01-01-2019 15:56;1075.14;1075.14
01-01-2019 16:00;1074.02;1074.02
01-01-2019 16:04;1072.91;1072.91
01-01-2019 16:08;1071.8;1071.8
01-01-2019 16:12;1049.39;1049.39
01-01-2019 16:16;1038.19;1038.19
01-01-2019 16:20;1026.98;1026.98
01-01-2019 16:24;1015.78;1015.78
01-01-2019 16:28;1004.57;1004.57
01-01-2019 16:32;980.37;980.37
01-01-2019 16:36;968.27;968.27
01-01-2019 16:40;956.18;956.18
01-01-2019 16:44;944.08;944.08
01-01-2019 16:48;931.98;931.98
01-01-2019 16:52;907.78;907.78
01-01-2019 16:56;891.47;891.47
01-01-2019 17:00;883.32;883.32
01-01-2019 17:04;875.17;875.17
01-01-2019 17:08;858.86;858.86
01-01-2019 17:12;850.71;850.71
01-01-2019 17:16;842.56;842.56
01-01-2019 17:20;826.25;826.25
01-01-2019 17:24;820.67;820.67
01-01-2019 17:28;815.09;815.09
01-01-2019 17:32;803.93;803.93
01-01-2019 17:36;792.78;792.78
01-01-2019 17:40;789.06;789.06
01-01-2019 17:44;785.34;785.34
01-01-2019 17:48;781.62;781.62
01-01-2019 17:52;770.46;770.46
01-01-2019 17:56;766.32;766.32
01-01-2019 18:00;762.17;762.17
01-01-2019 18:04;753.88;753.88
01-01-2019 18:08;745.59;745.59
01-01-2019 18:12;741.45;741.45
01-01-2019 18:16;737.3;737.3
01-01-2019 18:20;726.19;726.19
01-01-2019 18:24;720.64;720.64
01-01-2019 18:28;715.09;715.09
01-01-2019 18:32;703.98;703.98
01-01-2019 18:36;698.43;698.43
01-01-2019 18:40;692.88;692.88
01-01-2019 18:44;681.77;681.77
01-01-2019 18:48;674.14;674.14
01-01-2019 18:52;666.51;666.51
01-01-2019 18:56;651.26;651.26
01-01-2019 19:00;636;636
01-01-2019 19:04;628.37;628.37
01-01-2019 19:08;620.74;620.74
01-01-2019 19:12;618.71;618.71
01-01-2019 19:16;616.69;616.69
01-01-2019 19:20;612.64;612.64
01-01-2019 19:24;608.58;608.58
01-01-2019 19:28;606.56;606.56
01-01-2019 19:32;604.53;604.53
01-01-2019 19:36;602.8;602.8
01-01-2019 19:40;601.07;601.07
01-01-2019 19:44;597.62;597.62
01-01-2019 19:48;597;594.16
01-01-2019 19:52;595.95;593.01
01-01-2019 19:56;595.21;591.85
01-01-2019 20:00;594.26;590.7
01-01-2019 20:04;592.8;589.03
01-01-2019 20:08;591.54;587.36
01-01-2019 20:12;598.27;585.69
01-01-2019 20:16;599.41;584.03
01-01-2019 20:20;595.52;577.35
01-01-2019 20:24;594.98;574.01
01-01-2019 20:28;595.85;570.68
01-01-2019 20:32;596.71;567.34
01-01-2019 20:36;580.85;564
01-01-2019 20:40;566.73;562.41
01-01-2019 20:44;540.09;560.82
01-01-2019 20:48;527.26;559.23
01-01-2019 20:52;516.88;554.47
01-01-2019 20:56;508.87;552.08
01-01-2019 21:00;495.24;549.7
01-01-2019 21:04;482.81;548.51
01-01-2019 21:08;470.37;547.31
01-01-2019 21:12;457.94;546.12
01-01-2019 21:16;452.29;544.93
01-01-2019 21:20;447.42;544.51
01-01-2019 21:24;438.1;544.1
01-01-2019 21:28;428.77;543.68
01-01-2019 21:32;419.43;543.26
01-01-2019 21:36;410.1;542.84
01-01-2019 21:40;400.78;542.43
01-01-2019 21:44;391.45;542.01
01-01-2019 21:48;387.35;541.59
01-01-2019 21:52;380.35;538.26
01-01-2019 21:56;375;536.59
01-01-2019 22:00;367.81;534.92
01-01-2019 22:04;361.63;534.25
01-01-2019 22:08;349.92;533.58
01-01-2019 22:12;338.23;532.92
01-01-2019 22:16;326.53;532.25
01-01-2019 22:20;333.48;531.58
01-01-2019 22:24;339.92;530.4
01-01-2019 22:28;354;529.23
01-01-2019 22:32;368.06;528.05
01-01-2019 22:36;382.14;526.88
01-01-2019 22:40;389.58;525.7
01-01-2019 22:44;396.23;523.74
01-01-2019 22:48;411.51;521.78
01-01-2019 22:52;418.16;519.82
01-01-2019 22:56;425.31;518.35
01-01-2019 23:00;441.08;516.88
01-01-2019 23:04;456.84;515.41
01-01-2019 23:08;462.48;513.94
01-01-2019 23:12;469.17;513.51
01-01-2019 23:16;482.97;513.08
01-01-2019 23:20;496.77;512.65
01-01-2019 23:24;510.57;512.22
01-01-2019 23:28;517.27;511.8
01-01-2019 23:32;523.3;510.72
01-01-2019 23:36;522.23;509.65
01-01-2019 23:40;520.09;507.51
01-01-2019 23:44;519.01;506.43
01-01-2019 23:48;517.94;505.36
01-01-2019 23:52;517.94;505.36
01-01-2019 23:56;517.94;505.36
